School URN,School Name,Region,Local Authority,Phase of Education,School Type
146964,May Park Primary School,South West,"Bristol, City of",Primary,Academy sponsor led
147016,King Arthur's School,South West,Somerset,Secondary,Academy sponsor led
146699,Birchensale Middle School,West Midlands,Worcestershire,Secondary,Academy converter
147650,Thomas Hall School,South West,Devon,Secondary,Free schools
145268,Gunthorpe Primary School,East of England,Peterborough,Primary,Academy sponsor led
146785,Busill Jones Primary School,West Midlands,Walsall,Primary,Academy sponsor led
136185,Ormiston Bolingbroke Academy,North West,Halton,Secondary,Academy sponsor led
147895,Drybrook Primary School,South West,Gloucestershire,Primary,Academy sponsor led
119798,Our Lady's Catholic College,North West,Lancashire,Secondary,Voluntary aided school
113095,Exeter Road Community Primary School,South West,Devon,Primary,Foundation school
147109,Sacred Heart Catholic School,West Midlands,Birmingham,Primary,Academy sponsor led
147155,Northfield Road Primary School,West Midlands,Dudley,Primary,Academy sponsor led
147156,Elmhurst School,South East,Buckinghamshire,Primary,Academy sponsor led
147178,Grace College,North East,Gateshead,Secondary,Academy converter
147449,"All Saints CofE Primary School, Bednall",West Midlands,Staffordshire,Primary,Academy sponsor led
119280,Rawtenstall Balladen Community Primary School,North West,Lancashire,Primary,Community school
147534,Co-op Academy Smithies Moor,Yorkshire and the Humber,Kirklees,Primary,Academy sponsor led
147544,Outwood Academy Normanby,North East,Redcar and Cleveland,Secondary,Academy sponsor led
147570,Wilnecote Junior Academy,West Midlands,Staffordshire,Primary,Academy converter
141407,Stone Lodge Academy,East of England,Suffolk,Special school,Academy special sponsor led
146208,Newton Road School,East Midlands,North Northamptonshire,Primary,Academy sponsor led
147628,Oldfleet Primary School,Yorkshire and the Humber,"Kingston upon Hull, City of",Primary,Academy converter
137426,Saint Edmund's Roman Catholic Primary School,South West,Wiltshire,Primary,Academy converter
147676,Weston Secondary School,South East,Southampton,Secondary,Academy sponsor led
147720,The Harbour School,South East,Portsmouth,Special school,Academy special converter
138282,St Wulfram's National Church of England Primary School,East Midlands,Lincolnshire,Primary,Academy converter
147759,Botley School,South East,Oxfordshire,Primary,Academy sponsor led
148921,Rhyddings,North West,Lancashire,Secondary,Academy converter
148013,Ferham Primary School,Yorkshire and the Humber,Rotherham,Primary,Academy sponsor led
149047,Sacred Heart Catholic Academy,North West,Sefton,Secondary,Academy sponsor led
148534,Saint Edmund Arrowsmith Catholic Academy,North West,Knowsley,Secondary,Academy sponsor led
148225,Mayfield School,West Midlands,Birmingham,Special school,Academy special sponsor led
148326,"St Chad's Roman Catholic Primary School, a Voluntary Academy",North West,Manchester,Primary,Academy sponsor led
148235,Bailey Street Alternative Provision Academy,West Midlands,Staffordshire,Pupil referral unit,Academy alternative provision sponsor led
148256,"Our Lady and St Brendan's Catholic Primary School, A Voluntary Academy",Yorkshire and the Humber,Bradford,Primary,Academy converter
148698,"St Cuthberts Catholic Primary School, Windermere",North West,Westmorland and Furness,Primary,Academy converter
148362,Trinity Catholic School,West Midlands,Warwickshire,Secondary,Academy converter
148429,Meadow Park School,West Midlands,Coventry,Secondary,Academy converter
147516,St Elisabeth's Church of England Primary,North West,Stockport,Primary,Academy sponsor led
148437,Woodlands School,West Midlands,Shropshire,Special school,Academy special sponsor led
119704,St Mary's and St Benedict's Roman Catholic Primary School,North West,Lancashire,Primary,Voluntary aided school
137214,William Edwards School,East of England,Thurrock,Secondary,Academy converter
